pl_srcoldmsncev_x,pl_inqcnt2y_x,pl_inqcnt1m_x,acctno,lexid,pl_srcoldmsncev_y,pl_inqcnt2y_y,pl_inqcnt1m_y,o_lexid,company_id,date_added,flag,pl_srcoldmsncev_diff,pl_inqcnt2y_diff,pl_inqcnt1m_diff
382.0,8.0,1.0,436185761R513800,2058938162.0,379.0,8.0,1.0,2058938162,107571,2023-10-23 15:29:43,0,3.0,0.0,0.0
462.0,2.0,0.0,436182161R566240,574147866.0,459.0,2.0,0.0,574147866,107571,2023-10-03 18:45:25,0,3.0,0.0,0.0
73.0,1.0,0.0,436182491R977235,236646423444.0,70.0,1.0,0.0,236646423444,107571,2023-10-12 05:02:45,0,3.0,0.0,0.0
144.0,10.0,0.0,436185671R172485,188058499908.0,141.0,10.0,0.0,188058499908,107571,2023-10-16 14:00:08,0,3.0,0.0,0.0
115.0,4.0,1.0,436185671R205562,187872861252.0,112.0,4.0,1.0,187872861252,107571,2023-10-16 22:17:40,0,3.0,0.0,0.0
296.0,3.0,0.0,436185681R127807,2538920960.0,293.0,5.0,1.0,2538920960,107571,2023-10-15 00:19:48,0,3.0,-2.0,-1.0
78.0,12.0,0.0,436185681R134196,209609711697.0,75.0,12.0,0.0,209609711697,107571,2023-10-15 06:47:16,0,3.0,0.0,0.0
464.0,7.0,0.0,436185681R188805,1105655771.0,461.0,7.0,0.0,1105655771,107571,2023-10-16 18:18:50,0,3.0,0.0,0.0
286.0,15.0,3.0,436185681R235358,1519935828.0,283.0,13.0,1.0,1519935828,107571,2023-10-17 16:04:10,0,3.0,2.0,2.0
282.0,9.0,1.0,436185681R539644,1977272275.0,279.0,9.0,1.0,1977272275,107571,2023-10-23 17:20:07,0,3.0,0.0,0.0
332.0,2.0,0.0,436182161R833370,310170866.0,329.0,2.0,0.0,310170866,107571,2023-10-09 16:11:03,0,3.0,0.0,0.0
429.0,19.0,2.0,436185691R251927,492499688.0,426.0,17.0,0.0,492499688,107571,2023-10-17 20:14:15,0,3.0,2.0,2.0
308.0,0.0,0.0,436185691R51465,978056792.0,305.0,0.0,0.0,978056792,107571,2023-10-13 14:58:38,0,3.0,0.0,0.0
12.0,4.0,3.0,436185701R286709,240451654328.0,9.0,1.0,0.0,240451654328,107571,2023-10-18 14:49:19,0,3.0,3.0,3.0
170.0,13.0,0.0,436185701R316154,160867922602.0,167.0,13.0,0.0,160867922602,107571,2023-10-18 22:14:03,0,3.0,0.0,0.0
204.0,2.0,2.0,436185701R445381,112483154308.0,201.0,1.0,1.0,112483154308,107571,2023-10-21 03:12:39,0,3.0,1.0,1.0
363.0,7.0,0.0,436185701R453427,1053940507.0,360.0,7.0,0.0,1053940507,107571,2023-10-21 13:58:57,0,3.0,0.0,0.0
38.0,8.0,0.0,436185701R537890,236828368559.0,35.0,8.0,0.0,236828368559,107571,2023-10-23 16:50:07,0,3.0,0.0,0.0
414.0,7.0,1.0,436185701R91200,2272012443.0,411.0,6.0,0.0,2272012443,107571,2023-10-14 03:32:52,0,3.0,1.0,1.0
405.0,13.0,0.0,436185711R391128,1588800220.0,402.0,13.0,0.0,1588800220,107571,2023-10-20 05:39:19,0,3.0,0.0,0.0
301.0,2.0,0.0,436185711R8749,116086866.0,298.0,2.0,0.0,116086866,107571,2023-10-12 19:23:14,0,3.0,0.0,0.0
414.0,8.0,1.0,436182201R820081,1252171905.0,411.0,7.0,1.0,1252171905,107571,2023-10-09 04:26:46,0,3.0,1.0,0.0
200.0,18.0,0.0,436185721R138544,139830370510.0,197.0,18.0,0.0,139830370510,107571,2023-10-15 14:51:03,0,3.0,0.0,0.0
17.0,2.0,0.0,436185721R295492,241186780511.0,14.0,2.0,1.0,241186780511,107571,2023-10-18 17:45:52,0,3.0,0.0,-1.0
